Time_s,Fish_X,Fish_Y,BG_X,BG_Y,Rel_X,Rel_Y
0.03333334,720.7913,545.8063,560.6071,348.6334,160.1842,197.173
0.06666667,721.5488,553.979,555.4781,362.675,166.0707,191.304
0.1,721.2429,564.5911,551.9437,377.1081,169.2993,187.483
0.1333333,723.431,573.1297,548.9797,390.8156,174.4512,182.3141
0.1666667,725.1595,578.762,546.617,404.7772,178.5425,173.9848
0.2,726.6707,584.4078,544.9961,419.0345,181.6746,165.3733
0.2333333,729.55,586.0008,544.0181,433.8442,185.5319,152.1566
0.2666667,730.92,591.7173,543.6492,448.7664,187.2708,142.9509
0.3,730.3779,600.566,543.4316,463.7259,186.9463,136.8401
0.3333333,728.5628,607.6929,543.2086,477.8213,185.3542,129.8716
0.3666667,726.5427,612.8715,542.8052,490.6173,183.7375,122.2542
0.4,723.9976,616.4607,541.8014,502.3045,182.1962,114.1562
0.4333333,718.6989,621.3744,540.748,512.8682,177.9509,108.5062
0.4666667,713.531,624.0236,539.5662,522.2671,173.9648,101.7565
0.5,709.7927,610.2946,537.5992,529.8342,172.1935,80.46045
0.5333334,704.4651,611.9061,535.1823,536.4911,169.2829,75.41492
0.5666667,701.1971,604.3148,532.2238,542.3373,168.9734,61.97748
0.6,699.198,604.5662,529.5055,547.7798,169.6925,56.78638
0.6333333,699.248,604.3881,526.7357,552.6618,172.5123,51.72632
0.6666667,700.3683,602.3949,524.4721,557.2441,175.8962,45.15082
0.7,702.2802,600.0642,523.7064,562.0577,178.5738,38.00647
0.7333333,703.9911,597.2369,523.6453,566.8602,180.3458,30.37677
0.7666667,705.6985,593.463,524.9536,571.4673,180.7449,21.99567
0.8,707.0892,590.0074,527.3425,576.0714,179.7468,13.9361
0.8333333,707.9467,586.1198,531.1161,580.6945,176.8306,5.425354
0.8666667,709.3781,582.851,535.905,585.6128,173.4731,-2.76178
0.9,710.7972,580.5645,541.0342,590.6791,169.763,-10.11456
0.9333333,712.7536,578.4985,546.0595,596.0139,166.6941,-17.51544
0.9666666,714.0023,576.696,550.9953,601.1976,163.007,-24.50159
1,714.8672,575.917,554.967,606.369,159.9001,-30.45197
